//id, navn, kategori, small?, medium?, large?, farve, køn, mærke, pris
1, Flot kjole, Kjole, true, true, false, Rød, Dame, Miss Selfridge, 499
2, Grim kjole, Kjole, true, true, false, Blå, Dame, Miss Selfridge, 249
3, Pæn skjorte, Skjorte, true, false, true, Sort, Herre, Miss Selfridge, 349
4, Knap så pæn skjorte, Skjorte, true, false, true, Sort, Herre, Miss Selfridge, 899
5, Sej skjorte, Skjorte, true, false, true, Grøn, Unisex, Jacks, 499
6, Kortærmet bluse, Bluse, true, false, true, Hvid, Herre, Jacks, 679
7, Langærmet bluse, Bluse, true, false, true, Hvid, Dame, Jacks, 689
8, Hullede bukser, Bukser, false, false, true, Blå, Herre, Huzar, 1299
9, Faldskærms bukser, Bukser, false, false, true, Gul, Dame, Huzar, 1199
10, Farverig bluse, Bluse, false, false, true, Gul, Unisex, Huzar, 449
11, Farverige bukser, Bukser, false, false, true, Grøn, Unisex, Bertoni, 1219
12, Grim bluse, Bluse, false, false, true, Sort, Herre, Bertoni, 159
13, Pæn bluse, Bluse, false, false, true, Hvid, Dame, Bertoni, 239
14, Grønne shorts, Shorts, false, false, true, Grøn, Herre, Adidas, 629
15, Sort træningstrøje, Træning, false, false, true, Sort, Herre, Adidas, 879
16, Hvid t-shirt, T-Shirt, false, true, true, Hvid, Dame, Adidas, 299
